Learning Rate,L2 Penalty,Optimizer,Model,Momentum,Mini_batch,Loss,Epoch
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43298566341400146,31.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43300020694732666,32.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.433012992143631,33.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4330235719680786,34.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43303176760673523,35.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43303748965263367,36.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4330406188964844,37.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.433041512966156,38.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43304020166397095,39.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4330368638038635,40.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4330321252346039,41.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43302595615386963,42.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43301886320114136,43.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.433010995388031,44.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4330027103424072,45.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329943060874939,46.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329858124256134,47.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329776167869568,48.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329698085784912,49.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329623878002167,50.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329555034637451,51.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43294936418533325,52.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43294385075569153,53.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43293899297714233,54.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329347312450409,55.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.432931125164032,56.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329281449317932,57.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43292567133903503,58.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329237937927246,59.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43292221426963806,60.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43292108178138733,61.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329202473163605,62.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329197406768799,63.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329195022583008,64.0
